,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,Untreated 0μM,Untreated 0μM,Untreated 0μM,Untreated 0μM,Untreated 0μM,NEO99,NEO99,AZM50/4,AZM50/4,AZM50/4,
C,,AZM50/4,AZM50/4,AZM50/4,AZM50/2,AZM50/2,AZM50/2,AZM50/2,AZM50/2,AZM50/2,AZM50/2,
D,,AZM50,AZM50,AZM50,AZM50,AZM50,AZM50,AZM50,GEN50/4,GEN50/4,GEN50/4,
E,,GEN50/4,GEN50/4,GEN50/4,AZM50/4 + GEN50/4,AZM50/4 + GEN50/4,AZM50/4 + GEN50/4,AZM50/4 + GEN50/4,AZM50/2 + GEN50/4,AZM50/2 + GEN50/4,AZM50/2 + GEN50/4,
F,,AZM50/2 + GEN50/4,AZM50 + GEN50/4,AZM50 + GEN50/4,AZM50 + GEN50/4,AZM50 + GEN50/4,GEN50/2,GEN50/2,GEN50/2,GEN50/2,GEN50/2,
G,,GEN50/2,GEN50/2,AZM50/4 + GEN50/2,AZM50/4 + GEN50/2,AZM50/4 + GEN50/2,AZM50/4 + GEN50/2,AZM50/2 + GEN50/2,AZM50/2 + GEN50/2,AZM50/2 + GEN50/2,AZM50/2 + GEN50/2,
H,,,,,,,,,,,,
A,,,,,,,,,,,,
B,,AZM50 + GEN50/2,AZM50 + GEN50/2,AZM50 + GEN50/2,AZM50 + GEN50/2,GEN50,GEN50,GEN50,GEN50,GEN50,GEN50,
C,,GEN50,AZM50/4 + GEN50,AZM50/4 + GEN50,AZM50/4 + GEN50,AZM50/4 + GEN50,AZM50/2 + GEN50,AZM50/2 + GEN50,AZM50/2 + GEN50,AZM50/2 + GEN50,AZM50 + GEN50,
D,,AZM50 + GEN50,AZM50 + GEN50,AZM50 + GEN50,2GEN50,2GEN50,2GEN50,2GEN50,2GEN50,2GEN50,2GEN50,
E,,AZM50/4 + 2GEN50,AZM50/4 + 2GEN50,AZM50/4 + 2GEN50,AZM50/4 + 2GEN50,AZM50/2 + 2GEN50,AZM50/2 + 2GEN50,AZM50/2 + 2GEN50,AZM50/2 + 2GEN50,2AZM50,2AZM50,
F,,2AZM50,2AZM50,2AZM50,2AZM50,2AZM50,2AZM50 + GEN50/4,2AZM50 + GEN50/4,2AZM50 + GEN50/4,2AZM50 + GEN50/4,2AZM50 + GEN50/2,
G,,2AZM50 + GEN50/2,2AZM50 + GEN50/2,2AZM50 + GEN50/2,NEO99,NEO99,Untreated 0μM,Untreated 0μM,Untreated 0μM,Untreated 0μM,Untreated 0μM,
H,,,,,,,,,,,,
